uid,score,time
7500,1695.711780388014,0.13460397720336914
7501,1152.4800562819664,0.06629681587219238
7502,1654.482085398775,0.1126718521118164
7503,1314.4991352593072,0.0884859561920166
7504,1522.8764656762291,0.07109928131103516
7505,1657.059118872714,0.11199212074279785
7506,1268.3631241369771,0.04683399200439453
7507,1610.9219181279905,0.09332036972045898
7508,1656.7554626040642,0.11534452438354492
7509,1546.8384525141373,0.0931692123413086
7510,1512.8839349194961,0.09101343154907227
7511,1302.1166760161448,0.04587745666503906
7512,1649.9663146218825,0.11782002449035645
7513,1639.8483001139298,0.11356282234191895
7514,1724.266577456323,0.1570420265197754
7515,1268.3631241369771,0.04915165901184082
7516,1273.4439791628677,0.04970145225524902
7517,1609.533474426615,0.09081459045410156
7518,1539.2312604432639,0.09409070014953613
7519,1257.3557290806723,0.045763254165649414
7520,1576.64730194313,0.10128521919250488
7521,1541.536533022838,0.09511637687683105
7522,1593.9723421074996,0.0944054126739502
7523,1587.2741511891825,0.0899052619934082
7524,1712.0870560803078,0.1588304042816162
7525,1722.4078048639335,0.16163945198059082
7526,1268.3631241369771,0.0583646297454834
7527,1584.065127572067,0.09304070472717285
7528,1476.9153062226453,0.09032154083251953
7529,1599.5153104934116,0.11433577537536621
7530,1619.7788122590189,0.11023497581481934
7531,1605.6233775310054,0.11115550994873047
7532,1608.5540431343438,0.08695816993713379
7533,1526.3383947367722,0.06693363189697266
7534,1714.8685863069209,0.15759539604187012
7535,1245.5949659386142,0.076385498046875
7536,1458.5129137535855,0.06784176826477051
7537,1572.3686173421381,0.09191465377807617
7538,1585.5219571585799,0.09123373031616211
7539,1611.4202674506353,0.13687944412231445
7540,1489.451122943101,0.06882834434509277
7541,1640.0199948897578,0.11403727531433105
7542,1314.4991352593072,0.09182906150817871
7543,1468.0732156705594,0.07127046585083008
7544,1693.9955325072788,0.1402912139892578
7545,1535.0671862080665,0.09174895286560059
7546,1607.5948369679245,0.0900881290435791
7547,1693.583951873658,0.13502764701843262
7548,1683.2907090318554,0.1362318992614746
7549,1581.6131222115337,0.09020829200744629
7550,1659.2502946313534,0.11376523971557617
7551,1659.9629669118112,0.11298370361328125
7552,1693.9066935650073,0.13655948638916016
7553,1456.4353841341506,0.0663900375366211
7554,1614.3065292538035,0.09186697006225586
7555,1685.067913022666,0.13574719429016113
7556,1691.0219933137723,0.1326160430908203
7557,1720.8721812255237,0.15857362747192383
7558,1457.6200062239593,0.0663599967956543
7559,1547.730714816081,0.09036993980407715
7560,1659.4866478187655,0.1327066421508789
7561,1575.7389810753396,0.08859634399414062
7562,1449.0733983671291,0.0671076774597168
7563,1604.9268135654204,0.08728790283203125
7564,1463.3751263815982,0.07419538497924805
7565,1693.596299641058,0.13338541984558105
7566,1614.1939206332845,0.08803224563598633
7567,1661.5706997041516,0.1119391918182373
7568,1620.817397271723,0.11386823654174805
7569,1536.8879828392764,0.06781578063964844
