uid,score,time
0,1.4175664284037522e+21,0.09465789794921875
1,9.972347341437131e+36,0.1089928150177002
2,6.247426416161022e+26,0.09945464134216309
3,24916527.296265144,0.059845685958862305
4,6.054409104020508e+24,0.08535885810852051
5,5.0126755218934856e+26,0.11396670341491699
6,3.9712777803277906e+35,0.11119222640991211
7,2.087155974709492e+22,0.09533309936523438
8,5.479035807953551e+30,0.08679747581481934
9,24977291.823655196,0.07349324226379395
10,0.0,0.1429424285888672
11,8.119663195286703e+36,0.13071346282958984
12,0.0,0.08928442001342773
13,3.325047953042018e+23,0.12496709823608398
14,3.7957146795794435e+21,0.13852691650390625
15,371450328142170.4,0.08205938339233398
16,2.1630309819074895e+36,0.11030960083007812
17,4.382714293884776e+25,0.12091970443725586
18,1.9320963618868388e+31,0.1746382713317871
19,1.949144722269535e+22,0.18076515197753906
20,1.9061109753354335e+22,0.11084675788879395
21,2.542470704961461e+29,0.15842366218566895
22,1.1831279515742439e+24,0.13042426109313965
23,9.799593473806788e+28,0.17639446258544922
24,1.3732299822960087e+18,0.11469125747680664
25,24916527.296265144,0.06673836708068848
26,2.232203867855596e+26,0.15196800231933594
27,1.6845070741872857e+19,0.1467881202697754
28,1.5648618199383865e+21,0.09607791900634766
29,1.947282870155904e+22,0.10605573654174805
30,3.7327841470889245e+21,0.10013651847839355
31,1.1786247152092397e+24,0.11449146270751953
32,5.622125634036183e+30,0.11435127258300781
33,1.1910304345588843e+30,0.09725594520568848
34,3.258623243260188e+23,0.0842580795288086
35,3.0734775318640543e+23,0.08478212356567383
36,2.0268456072842428e+31,0.10770654678344727
37,2.0469401918403615e+20,0.0796973705291748
38,4.255936259210633e+37,0.09908819198608398
39,1.7865309676311393e+20,0.07890701293945312
40,25864801.36274244,0.08555221557617188
41,501071198388341.56,0.10433101654052734
42,3.911136600022699e+35,0.10333633422851562
43,1.1780794726996275e+26,0.09962773323059082
44,1.374955184190162e+18,0.07234835624694824
45,4.617307771896549e+16,0.07193851470947266
46,9.178631605741867e+28,0.08866405487060547
47,2.0614873151494855e+22,0.08699679374694824
48,1.3722316919614382e+18,0.07033085823059082
49,1.194150159507438e+24,0.08927416801452637
50,4.579770038159667e+34,0.13100099563598633
51,4.545510191886244e+16,0.08346271514892578
